; Generated by mfdb 3.2.0
; -- data --
; year	step	area	vessel	number
1988	1	1	seine	80201000
1988	2	1	seine	153969000
1988	3	1	seine	89612000
1988	4	1	seine	68542000
1989	1	1	seine	173169000
1989	2	1	seine	346936000
1989	3	1	seine	63424000
1989	4	1	seine	5454000
1990	1	1	seine	307715000
1990	2	1	seine	158059000
1990	3	1	seine	92883000
1990	4	1	seine	261679000
1991	1	1	seine	308513000
1991	2	1	seine	312823000
1991	3	1	seine	139069000
1991	4	1	seine	46245000
1992	1	1	seine	139245000
1992	2	1	seine	124507000
1992	3	1	seine	35751000
1992	4	1	seine	238000
1993	1	1	seine	49852000
1993	2	1	seine	70783000
1993	3	1	seine	11060000
1993	4	1	seine	6895000
1994	1	1	seine	108976000
1994	2	1	seine	189967000
1994	3	1	seine	9543000
1994	4	1	seine	2229000
1995	1	1	seine	16518000
1995	2	1	seine	6222000
1995	3	1	seine	18553000
1995	4	1	seine	17833000
1996	1	1	seine	14539000
1996	2	1	seine	97348000
1996	3	1	seine	365577000
1996	4	1	seine	53075000
1997	1	1	seine	89906000
1997	2	1	seine	134239000
1997	3	1	seine	320557000
1997	4	1	seine	136215000
1998	1	1	seine	346686000
1998	2	1	seine	400689000
1998	3	1	seine	306057000
1998	4	1	seine	462257000
1999	1	1	seine	260905000
1999	2	1	seine	134805000
1999	3	1	seine	129935000
1999	4	1	seine	104657000
2000	1	1	seine	75774000
2000	2	1	seine	68619000
2000	3	1	seine	95085000
2000	4	1	seine	87741000
2001	1	1	seine	102843000
2001	2	1	seine	229922000
2001	3	1	seine	204786000
2001	4	1	seine	156373000
2002	1	1	seine	220091000
2002	2	1	seine	310354000
2002	3	1	seine	203055000
2002	4	1	seine	66458000
2003	1	1	seine	106174000
2003	2	1	seine	231769000
2003	3	1	seine	75572000
2003	4	1	seine	52843000
2004	1	1	seine	157588000
2004	2	1	seine	167157000
2004	3	1	seine	101469000
2004	4	1	seine	81193000
2005	1	1	seine	198197000
2005	2	1	seine	249849000
2005	3	1	seine	61497000
2005	4	1	seine	14112000
2006	1	1	seine	155922000
2006	2	1	seine	298923000
2006	3	1	seine	51068000
2006	4	1	seine	1957000
2007	1	1	seine	224063000
2007	2	1	seine	235216000
2007	3	1	seine	130785000
2007	4	1	seine	38183000
2008	1	1	seine	49206400
2008	2	1	seine	65059100
2008	3	1	seine	73918500
2008	4	1	seine	38950000
2009	1	1	seine	37100000
2009	2	1	seine	100524000
2009	3	1	seine	68081000
2009	4	1	seine	11653000
2010	1	1	seine	6297000
2010	2	1	seine	153975000
2010	3	1	seine	69060000
2010	4	1	seine	26889000
2011	1	1	seine	136555000
2011	2	1	seine	217431000
2011	3	1	seine	210141000
2011	4	1	seine	57552000
2012	1	1	seine	119536000
2012	2	1	seine	176640000
2012	3	1	seine	72741000
2012	4	1	seine	1822000
2013	1	1	seine	42585000
2013	2	1	seine	155139000
2013	3	1	seine	247578000
2013	4	1	seine	38514000
2014	1	1	seine	206478000
2014	2	1	seine	364318000
2014	3	1	seine	276371000
2014	4	1	seine	31908000
2015	1	1	seine	124185000
2015	2	1	seine	231177000
2015	3	1	seine	191501000
2015	4	1	seine	117037000
