"","ecosystem","model","species","year","B","catch","F","isFmsy","isFsq"
"1","South Western Waters, Gulf of Cadiz (ICES IXa South)","Gadget","EngraulisEncrasicolus",2000,3226.41220008875,4950.12156582,1.54410768996676,NA,1
"2","South Western Waters, Gulf of Cadiz (ICES IXa South)","Gadget","EngraulisEncrasicolus",2001,7611.36328780391,11881.6999725,1.66074857683303,NA,1
"3","South Western Waters, Gulf of Cadiz (ICES IXa South)","Gadget","EngraulisEncrasicolus",2002,5747.25150828886,10225.7287420001,1.93128822762932,NA,1
"4","South Western Waters, Gulf of Cadiz (ICES IXa South)","Gadget","EngraulisEncrasicolus",2003,5280.38018201454,7402.49108703,1.50614888817639,NA,1
"5","South Western Waters, Gulf of Cadiz (ICES IXa South)","Gadget","EngraulisEncrasicolus",2004,5157.66006652391,7583.0028991,1.5874520817626,NA,1
"6","South Western Waters, Gulf of Cadiz (ICES IXa South)","Gadget","EngraulisEncrasicolus",2005,6592.40566163079,8260.94769524,1.35156050135177,NA,1
"7","South Western Waters, Gulf of Cadiz (ICES IXa South)","Gadget","EngraulisEncrasicolus",2006,10198.9256367175,9947.642432477,1.04079347640352,NA,1
"8","South Western Waters, Gulf of Cadiz (ICES IXa South)","Gadget","EngraulisEncrasicolus",2007,12517.1656788654,13516.4305438,1.14487762232424,NA,1
"9","South Western Waters, Gulf of Cadiz (ICES IXa South)","Gadget","EngraulisEncrasicolus",2008,5341.42199283556,5383.38766200001,1.05912549101696,NA,1
"10","South Western Waters, Gulf of Cadiz (ICES IXa South)","Gadget","EngraulisEncrasicolus",2009,4760.19977593925,4653.4736616,1.03181734757291,NA,1
"11","South Western Waters, Gulf of Cadiz (ICES IXa South)","Gadget","EngraulisEncrasicolus",2010,5051.65160663522,6212.4375206,1.29240334882051,NA,1
"12","South Western Waters, Gulf of Cadiz (ICES IXa South)","Gadget","EngraulisEncrasicolus",2011,6660.52928978061,10000.53573555,1.60715805608437,NA,1
"13","South Western Waters, Gulf of Cadiz (ICES IXa South)","Gadget","EngraulisEncrasicolus",2012,7594.66699431436,7755.778718424,1.08831125324364,NA,1
"14","South Western Waters, Gulf of Cadiz (ICES IXa South)","Gadget","EngraulisEncrasicolus",2013,10192.7107829207,11870.61509,1.40789078651374,NA,1
